Concurso de Estímulo ao Emprego Científico na Modalidade de Apoio Individual - 2018 /Stimulus of Scientific Employment, Individual Support 2018 Call;;;;;;;;;;;;;;
Resultados Após Avaliação /Results After Evaluation ;;;;;;;;;;;;;;
Lista ordenada da categoria de Investigador Principal / Ranked list of Principal Researchers;;;;;;;;;;;;;;
Reference/Referência;Nome Candidato/Applicant;Categoria/Contract Level;Painel de Avaliação/Evaluation Panel;Instituição Acolhimento/Host Institution;Classificação Final/Final Score;Classificação Final Consolidada/Consolidated Final Score;Recomendação para financiamento/Recommended for funding?;;;;;;;
CEECIND/02053/2018;Bruno Miguel Barreiro Henriques;Principal researcher;Physical Sciences;Instituto de Astrofísica e Ciências do Espaço (IA);8,8;8,2;No;;;;;;;
CEECIND/03687/2018;Maria João de Medeiros Brazão Lopes Feio;Principal researcher;Earth and Related Environmental Sciences and Other Natural Sciences;MARE - Centro de Ciências do Mar e do Ambiente (MARE/FC/ULisboa);8,9;8,2;No;;;;;;;
CEECIND/01936/2018;Andreas Papaefstathiou;Principal researcher;Physical Sciences;Laboratório de Instrumentação e Física Experimental de Partículas (LIP);8,8;8,2;No;;;;;;;
CEECIND/00428/2018;Isabel Cristina dos Santos Lourenço Marques;Principal researcher;Biological Sciences AR, PR and CR;Centro de Ecologia, Evolução e Alterações Ambientais (CE3C/FC/ULisboa);8,8;8,2;No;;;;;;;
CEECIND/01903/2018;Maria Otilia Vitoriana Vieira;Principal researcher;Basic and Clinical Medicine;iNOVA4Health - Programme in Translational Medicine (iNOVA4Health);8,6;8,2;No;;;;;;;
CEECIND/01799/2018;Enrico Borghetto;Principal researcher;Media and Communications, Law and Political Science;Centro Interdisciplinar de Ciências Sociais (CICS.Nova/FCSH/UNL);8,8;8,2;No;;;;;;;
CEECIND/03903/2018;Carla da Conceicao Caramujo Rocha de Carvalho;Principal researcher;Environmental Biotechnology and Engineering, Industrial Biotechnology and Other Engineering and Technologies;Instituto de Bioengenharia e Biociências (iBB/IST/ULisboa);8,7;8,2;No;;;;;;;
CEECIND/02786/2018;Rogério Pedro Lemos de Sousa Pirraco;Principal researcher;Medical Biotechnology;ICVS/3B`s - Laboratório Associado (ICVS/3B`s);8,9;8,2;No;;;;;;;
CEECIND/01791/2018;Alexandre Babo de Almeida Paiva;Principal researcher;Chemical Engineering;Laboratório Associado para a Química Verde - Tecnologias e Processos Limpos (REQUIMTE);8,4;8,2;No;;;;;;;
CEECIND/01923/2018;Carla Alexandra Moreira Portugal;Principal researcher;Chemical Engineering;Laboratório Associado para a Química Verde - Tecnologias e Processos Limpos (REQUIMTE);8,4;8,2;No;;;;;;;
CEECIND/00441/2018;Vitor Hugo Rodrigues Paiva;Principal researcher;Earth and Related Environmental Sciences and Other Natural Sciences;MARE - Centro de Ciências do Mar e do Ambiente (MARE/FC/ULisboa);8,8;8,2;No;;;;;;;
CEECIND/01491/2018;Isabel Maria Cunha Antunes Lopes;Principal researcher;Earth and Related Environmental Sciences and Other Natural Sciences;Centro de Estudos do Ambiente e do Mar (CESAM/UA);8,8;8,2;No;;;;;;;
CEECIND/02287/2018;Elena Baena-Gonzalez;Principal researcher;Biological Sciences AR, PR and CR;Biorecursos para a Sustentabilidade (GREEN-IT/ITQB NOVA/UNL);8,7;8,1;No;;;;;;;
